date,best_learning_rate_xgboost,best_max_depth_xgboost,best_n_estimators_xgboost,best_reg_lambda_xgboost,best_subsample_xgboost,best_colsample_xgboost,best_depth_random_forest,best_n_estimators_random_forest,best_min_leaf_random_forest
2007-09-04,0.050000,1,100,1,1.000000,1.000000,5,135,2
2007-10-01,0.050000,1,100,5,1.000000,1.000000,1,100,2
2007-11-01,0.050000,1,100,5,1.000000,0.700000,1,200,4
2007-12-03,0.050000,1,200,1,1.000000,1.000000,3,100,2
2008-01-02,0.050000,1,100,5,1.000000,0.700000,2,200,2
2008-02-01,0.050000,2,100,1,1.000000,1.000000,5,200,2
2008-03-03,0.050000,1,100,1,1.000000,0.700000,3,100,2
2008-04-01,0.050000,1,100,1,0.700000,0.700000,3,100,2
2008-05-01,0.050000,1,100,3,1.000000,1.000000,1,100,5
2008-06-02,0.050000,1,100,1,0.700000,1.000000,2,200,3
2008-07-01,0.050000,1,100,1,1.000000,1.000000,2,200,3
2008-08-01,0.050000,1,100,5,1.000000,1.000000,1,135,2
2008-09-02,0.050000,1,100,3,1.000000,1.000000,1,100,2
2008-10-01,0.050000,1,100,1,1.000000,1.000000,2,135,2
2008-11-03,0.050000,1,100,3,1.000000,1.000000,1,100,2
2008-12-01,0.050000,1,100,5,1.000000,1.000000,1,200,2
2009-01-02,0.050000,1,100,3,1.000000,0.700000,1,200,2
2009-02-02,0.050000,1,100,1,1.000000,0.700000,1,200,2
2009-03-02,0.050000,1,100,5,1.000000,1.000000,1,135,3
2009-04-01,0.050000,1,100,5,1.000000,1.000000,1,100,2
2009-05-01,0.050000,1,100,1,1.000000,0.700000,1,200,2
2009-06-01,0.050000,1,100,3,1.000000,1.000000,1,200,3
2009-07-01,0.050000,1,100,5,1.000000,0.700000,2,100,4
2009-08-03,0.050000,1,100,5,1.000000,1.000000,2,200,2
2009-09-01,0.050000,1,100,1,1.000000,1.000000,1,200,2
2009-10-01,0.050000,1,100,5,1.000000,0.700000,1,200,2
2009-11-02,0.050000,1,100,3,1.000000,1.000000,3,135,5
2009-12-01,0.050000,1,100,1,1.000000,1.000000,2,200,2
2010-01-04,0.050000,1,100,5,1.000000,0.700000,1,200,2
2010-02-01,0.050000,1,100,3,0.700000,0.700000,1,100,2
2010-03-01,0.050000,1,100,5,1.000000,0.700000,1,135,2
2010-04-01,0.050000,3,100,3,1.000000,1.000000,1,100,2
2010-05-03,0.050000,1,100,5,1.000000,0.700000,2,135,4
2010-06-01,0.050000,1,100,3,1.000000,1.000000,1,200,2
2010-07-01,0.050000,1,100,3,1.000000,1.000000,1,200,2
2010-08-02,0.050000,2,100,3,1.000000,1.000000,1,135,2
2010-09-01,0.050000,1,100,5,1.000000,1.000000,2,200,2
2010-10-01,0.050000,1,100,3,1.000000,1.000000,1,100,2
2010-11-01,0.050000,1,100,5,1.000000,1.000000,1,200,2
2010-12-01,0.050000,1,100,5,1.000000,1.000000,1,100,2
2011-01-03,0.050000,1,100,1,1.000000,1.000000,1,135,2
2011-02-01,0.050000,1,100,3,1.000000,1.000000,1,135,4
2011-03-01,0.050000,1,100,3,1.000000,1.000000,1,200,2
2011-04-01,0.050000,1,100,1,1.000000,1.000000,1,135,2
2011-05-02,0.050000,1,100,3,1.000000,1.000000,1,100,2
2011-06-01,0.050000,1,100,1,1.000000,1.000000,1,100,2
2011-07-01,0.050000,2,100,1,1.000000,1.000000,1,135,2
2011-08-01,0.050000,1,100,1,1.000000,1.000000,1,135,2
2011-09-01,0.050000,1,100,3,1.000000,1.000000,1,135,5
2011-10-03,0.050000,1,100,1,1.000000,0.700000,1,100,2
2011-11-01,0.050000,1,100,3,1.000000,1.000000,1,135,2
2011-12-01,0.050000,1,100,5,1.000000,1.000000,3,135,5
2012-01-03,0.050000,1,100,5,1.000000,0.700000,1,135,3
2012-02-01,0.050000,1,100,5,1.000000,1.000000,1,200,3
2012-03-01,0.050000,1,100,5,1.000000,1.000000,1,135,2
2012-04-02,0.050000,3,100,1,1.000000,0.700000,1,200,2
2012-05-01,0.050000,1,100,5,1.000000,1.000000,1,135,2
