rebalance_date,invest_year,select_year,ticker,assigned_weight,hrp_success,turnover,tc_drag_bps
2000-07-03,2000,1999,JNJ,0.048605333396997435,True,0.0,0.0
2000-07-03,2000,1999,QCOM,0.016177259492097747,True,0.0,0.0
2000-07-03,2000,1999,BMY,0.05193642207533415,True,0.0,0.0
2000-07-03,2000,1999,PFE,0.031997255514677705,True,0.0,0.0
2000-07-03,2000,1999,T,0.05349643528546701,True,0.0,0.0
2000-07-03,2000,1999,VZ,0.0598935063666362,True,0.0,0.0
2001-01-02,2001,2000,XOM,0.10000000000000003,True,0.363253,0.0
2001-01-02,2001,2000,GE,0.07923344719281687,True,0.0,0.0
2001-01-02,2001,2000,CSCO,0.017882280816488114,True,0.0,0.0
2001-01-02,2001,2000,PFE,0.05627432347798726,True,0.0,0.0
2001-01-02,2001,2000,WMT,0.055182697027379976,True,0.0,0.0
2001-01-02,2001,2000,MSFT,0.046882070317545786,True,0.0,0.0
2001-01-02,2001,2000,C,0.029407134256028325,True,0.0,0.0
2001-01-02,2001,2000,INTC,0.028208705682421186,True,0.0,0.0
2001-01-02,2001,2000,MRK,0.06657338044332266,True,0.0,0.0
2001-01-02,2001,2000,AIG,0.04795200621619438,True,0.0,0.0
2001-01-02,2001,2000,ORCL,0.011287580309161991,True,0.0,0.0
2001-01-02,2001,2000,KO,0.07397379718106414,True,0.0,0.0
2001-01-02,2001,2000,JNJ,0.05720173956999594,True,0.0,0.0
2001-01-02,2001,2000,IBM,0.05117915680459899,True,0.0,0.0
2001-01-02,2001,2000,BMY,0.03426332063150765,True,0.0,0.0
2001-01-02,2001,2000,VZ,0.047987897245760816,True,0.0,0.0
2001-01-02,2001,2000,T,0.04606545248582177,True,0.0,0.0
2001-01-02,2001,2000,HD,0.043033159444362104,True,0.0,0.0
2001-01-02,2001,2000,LLY,0.045897183136593016,True,0.0,0.0
2001-01-02,2001,2000,PG,0.06151466776094912,True,0.0,0.0
2001-07-02,2001,2000,XOM,0.08794048666121192,True,0.351453,0.0
2001-07-02,2001,2000,GE,0.05359200345265091,True,0.0,0.0
2001-07-02,2001,2000,CSCO,0.021412971951755063,True,0.0,0.0
2001-07-02,2001,2000,PFE,0.035553351177491026,True,0.0,0.0
2001-07-02,2001,2000,WMT,0.04706409017798938,True,0.0,0.0
2001-07-02,2001,2000,MSFT,0.025236963270269887,True,0.0,0.0
2001-07-02,2001,2000,C,0.03163472030610107,True,0.0,0.0
2001-07-02,2001,2000,INTC,0.016623059251828637,True,0.0,0.0
2001-07-02,2001,2000,MRK,0.045220616161410966,True,0.0,0.0
2001-07-02,2001,2000,AIG,0.07913764275379614,True,0.0,0.0
2001-07-02,2001,2000,ORCL,0.01719347735154792,True,0.0,0.0
2001-07-02,2001,2000,KO,0.06007410879667797,True,0.0,0.0
2001-07-02,2001,2000,JNJ,0.08559034191013659,True,0.0,0.0
2001-07-02,2001,2000,IBM,0.050277960214889714,True,0.0,0.0
2001-07-02,2001,2000,BMY,0.04925224185181445,True,0.0,0.0
2001-07-02,2001,2000,VZ,0.07219361210084442,True,0.0,0.0
2001-07-02,2001,2000,T,0.06782285951178064,True,0.0,0.0
2001-07-02,2001,2000,HD,0.04110641509421535,True,0.0,0.0
2001-07-02,2001,2000,LLY,0.04720684783503044,True,0.0,0.0
2001-07-02,2001,2000,PG,0.06586623016855771,True,0.0,0.0
2002-01-02,2002,2001,MSFT,0.033976169975777626,True,0.503176,0.0
2002-01-02,2002,2001,XOM,0.10000000000000002,True,0.0,0.0
2002-01-02,2002,2001,C,0.034926635192098446,True,0.0,0.0
2002-01-02,2002,2001,WMT,0.026055907656909783,True,0.0,0.0
2002-01-02,2002,2001,GE,0.053812915966088566,True,0.0,0.0
2002-01-02,2002,2001,PFE,0.05037412596042176,True,0.0,0.0
2002-01-02,2002,2001,INTC,0.02209541172871785,True,0.0,0.0
2002-01-02,2002,2001,IBM,0.03649738042546942,True,0.0,0.0
2002-01-02,2002,2001,JNJ,0.068096377725092,True,0.0,0.0
2002-01-02,2002,2001,AIG,0.057574948167707696,True,0.0,0.0
2002-01-02,2002,2001,CSCO,0.020488411330789238,True,0.0,0.0
2002-01-02,2002,2001,VZ,0.048547515120509886,True,0.0,0.0
2002-01-02,2002,2001,MRK,0.06322386886846147,True,0.0,0.0
2002-01-02,2002,2001,HD,0.021436797994046464,True,0.0,0.0
2002-01-02,2002,2001,KO,0.0878605296908958,True,0.0,0.0
2002-01-02,2002,2001,PG,0.04416868505464114,True,0.0,0.0
2002-01-02,2002,2001,BMY,0.049772959071867295,True,0.0,0.0
2002-01-02,2002,2001,T,0.04430292821768079,True,0.0,0.0
2002-01-02,2002,2001,BAC,0.03678843185282478,True,0.0,0.0
2002-01-02,2002,2001,CVX,0.10000000000000002,True,0.0,0.0
2002-07-01,2002,2001,MSFT,0.026345682440269236,True,0.263977,0.0
2002-07-01,2002,2001,XOM,0.07831021301924217,True,0.0,0.0
2002-07-01,2002,2001,C,0.03377568767718815,True,0.0,0.0
2002-07-01,2002,2001,WMT,0.02456335871315333,True,0.0,0.0
2002-07-01,2002,2001,GE,0.04750516918571402,True,0.0,0.0
2002-07-01,2002,2001,PFE,0.05435821073319469,True,0.0,0.0
2002-07-01,2002,2001,INTC,0.02095975967694033,True,0.0,0.0
2002-07-01,2002,2001,IBM,0.04009033860119155,True,0.0,0.0
2002-07-01,2002,2001,JNJ,0.07271294031307109,True,0.0,0.0
2002-07-01,2002,2001,AIG,0.05286376551989495,True,0.0,0.0
2002-07-01,2002,2001,CSCO,0.01727916596226575,True,0.0,0.0
2002-07-01,2002,2001,VZ,0.07997672505229875,True,0.0,0.0
2002-07-01,2002,2001,MRK,0.06497472445972519,True,0.0,0.0
2002-07-01,2002,2001,HD,0.019674286072554673,True,0.0,0.0
2002-07-01,2002,2001,KO,0.09302054877160718,True,0.0,0.0
2002-07-01,2002,2001,PG,0.045109010162281506,True,0.0,0.0
2002-07-01,2002,2001,BMY,0.044020067534408285,True,0.0,0.0
2002-07-01,2002,2001,T,0.0747484877906598,True,0.0,0.0
