rebalance_date,invest_year,select_year,ticker,assigned_weight,turnover,tc_drag_bps,best_depth,best_n_est,best_min_leaf,best_min_samples_split,val_R2_selected
2022-09-01,2022,2021,WMT,0.03658775563095054,0.0,0.0,2,50,10,5,-0.170197
2022-09-01,2022,2021,AVGO,0.03454848879467761,0.0,0.0,2,50,10,5,-0.170197
2022-09-01,2022,2021,BAC,0.03400014853609718,0.0,0.0,2,50,10,5,-0.170197
2022-09-01,2022,2021,JPM,0.03153502008205664,0.0,0.0,2,50,10,5,-0.170197
2022-09-01,2022,2021,DIS,0.02909826713999125,0.0,0.0,2,50,10,5,-0.170197
2022-09-01,2022,2021,META,0.020990703751295487,0.0,0.0,2,50,10,5,-0.170197
2022-09-01,2022,2021,JNJ,0.009997114865357405,0.0,0.0,2,50,10,5,-0.170197
2022-09-01,2022,2021,NVDA,0.009997114865357405,0.0,0.0,2,50,10,5,-0.170197
2022-10-03,2022,2021,BRK-B,0.07391543803303305,0.337624,0.0,1,230,1,2,-0.125922
2022-10-03,2022,2021,PG,0.07218981442597602,0.0,0.0,1,230,1,2,-0.125922
2022-10-03,2022,2021,WMT,0.07094585276361812,0.0,0.0,1,230,1,2,-0.125922
2022-10-03,2022,2021,V,0.06939548147640918,0.0,0.0,1,230,1,2,-0.125922
2022-10-03,2022,2021,JNJ,0.06857372503788811,0.0,0.0,1,230,1,2,-0.125922
2022-10-03,2022,2021,PFE,0.06801337625386107,0.0,0.0,1,230,1,2,-0.125922
2022-10-03,2022,2021,UNH,0.06685991151085399,0.0,0.0,1,230,1,2,-0.125922
2022-10-03,2022,2021,MA,0.06365278814124901,0.0,0.0,1,230,1,2,-0.125922
2022-10-03,2022,2021,HD,0.06059827372900457,0.0,0.0,1,230,1,2,-0.125922
2022-10-03,2022,2021,AAPL,0.058952028250688605,0.0,0.0,1,230,1,2,-0.125922
2022-10-03,2022,2021,MSFT,0.055095883354135546,0.0,0.0,1,230,1,2,-0.125922
2022-10-03,2022,2021,JPM,0.04592450569324679,0.0,0.0,1,230,1,2,-0.125922
2022-10-03,2022,2021,AVGO,0.043535362647863424,0.0,0.0,1,230,1,2,-0.125922
2022-10-03,2022,2021,BAC,0.04058714198369001,0.0,0.0,1,230,1,2,-0.125922
2022-10-03,2022,2021,GOOGL,0.0405047588390732,0.0,0.0,1,230,1,2,-0.125922
2022-10-03,2022,2021,DIS,0.029711645847745948,0.0,0.0,1,230,1,2,-0.125922
2022-10-03,2022,2021,AMZN,0.026489691413536635,0.0,0.0,1,230,1,2,-0.125922
2022-10-03,2022,2021,TSLA,0.025061483000768416,0.0,0.0,1,230,1,2,-0.125922
2022-10-03,2022,2021,NVDA,0.009996418798679109,0.0,0.0,1,230,1,2,-0.125922
2022-10-03,2022,2021,META,0.009996418798679109,0.0,0.0,1,230,1,2,-0.125922
2022-11-01,2022,2021,DIS,0.07566557934997721,0.366973,0.0,1,50,2,2,-0.061494
2022-11-01,2022,2021,V,0.06909743323467499,0.0,0.0,1,50,2,2,-0.061494
2022-11-01,2022,2021,MA,0.06865006685530996,0.0,0.0,1,50,2,2,-0.061494
2022-11-01,2022,2021,TSLA,0.06804493469593854,0.0,0.0,1,50,2,2,-0.061494
2022-11-01,2022,2021,HD,0.0675467233914726,0.0,0.0,1,50,2,2,-0.061494
2022-11-01,2022,2021,AVGO,0.06582063034509815,0.0,0.0,1,50,2,2,-0.061494
2022-11-01,2022,2021,PG,0.06472533512222786,0.0,0.0,1,50,2,2,-0.061494
2022-11-01,2022,2021,BRK-B,0.06343845371623301,0.0,0.0,1,50,2,2,-0.061494
2022-11-01,2022,2021,NVDA,0.052178823498911474,0.0,0.0,1,50,2,2,-0.061494
2022-11-01,2022,2021,WMT,0.045691711301383685,0.0,0.0,1,50,2,2,-0.061494
2022-11-01,2022,2021,AAPL,0.04508616278419857,0.0,0.0,1,50,2,2,-0.061494
2022-11-01,2022,2021,PFE,0.04369741410183684,0.0,0.0,1,50,2,2,-0.061494
2022-11-01,2022,2021,BAC,0.04327671870639007,0.0,0.0,1,50,2,2,-0.061494
2022-11-01,2022,2021,UNH,0.041078616864273894,0.0,0.0,1,50,2,2,-0.061494
2022-11-01,2022,2021,JNJ,0.04091417514714165,0.0,0.0,1,50,2,2,-0.061494
2022-11-01,2022,2021,MSFT,0.03872682341503741,0.0,0.0,1,50,2,2,-0.061494
2022-11-01,2022,2021,GOOGL,0.03585540719212318,0.0,0.0,1,50,2,2,-0.061494
2022-11-01,2022,2021,AMZN,0.03568985954365317,0.0,0.0,1,50,2,2,-0.061494
2022-11-01,2022,2021,JPM,0.024816115404847922,0.0,0.0,1,50,2,2,-0.061494
2022-11-01,2022,2021,META,0.009999015329269948,0.0,0.0,1,50,2,2,-0.061494
