rebalance_date,invest_year,select_year,n_stocks,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,best_learning_rate,best_max_depth,best_n_estimators,best_reg_lambda,best_subsample,best_colsample,val_R2_selected,turnover,tc_drag_bps
2007-01-03,2007,2006,19,0.3129795785872117,0.0979562166126286,0.2724565737300302,-0.1787398065719647,-96.28659533039412,-0.5403508771929825,0.2105263157894736,0.2070196678027062,0.05,1,100,3,0.7,1.0,0.0339818672949598,0.888977130683572,0.0
2007-04-02,2007,2006,19,0.3042944235100208,0.0925950961792959,0.2688208107637896,-0.1142276573575276,-27.00346170459835,-0.3947368421052631,0.6842105263157895,0.0,0.05,1,100,5,0.7,0.7,0.0052978667553987,0.3119921276585344,0.0
2007-07-02,2007,2006,19,0.294675536665578,0.0868336719091464,0.2626675539069559,-0.0448985186400623,-31.054339150458468,-0.2277477583835737,0.631578947368421,0.0,0.05,1,100,5,1.0,1.0,0.0021428848894604,0.382933084342077,0.0
2007-10-01,2007,2006,19,0.2880543295926562,0.0829752967970746,0.254100410066483,0.0015305952085353,-19.70397311079505,0.0957400918795563,0.3157894736842105,0.0,0.05,1,100,5,1.0,0.7,0.0060745259993817,0.4500647832194535,0.0
2008-01-02,2008,2007,19,0.2929690196260411,0.0858308464606436,0.249368600072623,-0.0328311857430789,-21.148306259736472,-0.0283450123712857,0.3157894736842105,0.2672612419124244,0.05,1,100,5,1.0,1.0,0.0215844873801024,0.5584708020136518,0.0
2008-04-01,2008,2007,19,0.3000881155724375,0.0900528771078166,0.2587373647993621,-0.0836362878640599,-10.947967900549123,-0.085463384344728,0.2631578947368421,0.0,0.05,1,100,1,1.0,1.0,0.0033573755977009,0.5949532226157642,0.0
2008-07-01,2008,2007,19,0.2810538068221879,0.0789912423292437,0.2425669634771479,0.0494720506381005,-4.349173844253071,0.2770698048645445,0.4210526315789473,0.0,0.05,1,100,5,1.0,0.7,-0.0069281670117824,0.6041115752464934,0.0
2008-10-01,2008,2007,20,0.2937363226571423,0.0862810272481408,0.2544123631715774,-0.0379672450904158,-5.721950371255915,-0.0785742324634239,0.15,0.0,0.05,1,100,3,1.0,1.0,-0.0283155269238126,1.0628635764401917,0.0
2009-01-02,2009,2008,19,0.2877154476359995,0.0827801788083835,0.2429713885044457,0.0038785150057843,-11.520426307576122,0.1088196682204628,0.2105263157894736,0.3429971702850177,0.05,1,100,5,1.0,0.7,-0.0227760272908212,1.073698097568592,0.0
2009-04-01,2009,2008,19,0.2823021030235777,0.0796944773715347,0.2432133225192653,0.0410097889625326,-4.361548876417288,0.2698907617222259,0.7368421052631579,0.0,0.05,1,100,3,1.0,1.0,-0.0029040640137092,0.6480031800744137,0.0
2009-07-01,2009,2008,19,0.2865093208052859,0.0820875909083062,0.2467749321890009,0.012212656070048,-6.140313302625567,0.0368906776049666,0.7894736842105263,0.0,0.05,1,100,3,1.0,0.7,0.0127530645795269,0.5221644319961436,0.0
2009-10-01,2009,2008,19,0.2863545575344723,0.0819989326207634,0.2456855972883113,0.0132795107968133,-12.54543763621214,0.0912280701754386,0.8421052631578947,0.0,0.05,1,100,5,0.7,0.7,0.0117597167732697,0.5099391165857922,0.0
2010-01-04,2010,2009,20,0.2748093041094273,0.0755201536251077,0.2395743697881698,0.091486873682915,-59.37947350577249,0.2806504291136203,0.55,0.0,0.05,1,100,5,1.0,1.0,-0.0375800467903972,0.7704771978464268,0.0
2010-04-01,2010,2009,20,0.2875136249105279,0.0826640845091917,0.2555277734994888,0.0055448480097232,-21.64064015009177,0.0766917293233082,0.2,0.3973597071195131,0.05,4,100,3,1.0,1.0,0.0220070074454961,0.5356262973745325,0.0
