rebalance_date,invest_year,select_year,n_stocks,best_nodes,best_batch,best_lr,best_val_loss,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,turnover,tc_drag_bps
2004-04-01,2004,2003,20,16.000000,32.000000,0.010000,0.044902,0.288314,0.083125,0.250000,-0.000000,-135.382157,,0.450000,0.000000,0.521080,0.000000
2004-05-03,2004,2003,20,16.000000,32.000000,0.010000,0.045475,0.316253,0.100016,0.282749,-0.203200,-203.951029,-0.287218,0.400000,0.353553,0.466192,0.000000
2004-06-01,2004,2003,20,16.000000,32.000000,0.010000,0.044869,0.272564,0.074291,0.234192,0.106275,-167.007339,0.555476,0.650000,0.632456,0.557638,0.000000
2004-07-01,2004,2003,20,16.000000,32.000000,0.010000,0.044697,0.275531,0.075917,0.242552,0.086708,-89.030913,0.515789,0.650000,0.574169,0.474578,0.000000
2004-08-02,2004,2003,20,16.000000,32.000000,0.010000,0.044592,0.281579,0.079286,0.239568,0.046178,-87.279314,0.335338,0.550000,0.574169,0.586802,0.000000
2004-09-01,2004,2003,20,16.000000,32.000000,0.010000,0.045300,0.301022,0.090614,0.259326,-0.090098,-57.312684,-0.004511,0.450000,0.449467,0.583796,0.000000
2004-10-01,2004,2003,20,16.000000,32.000000,0.010000,0.045474,0.295944,0.087583,0.249994,-0.053626,-136.810457,-0.016541,0.550000,0.550482,0.507893,0.000000
2004-11-01,2004,2003,20,16.000000,32.000000,0.010000,0.046158,0.257511,0.066312,0.215361,0.202265,-171.770012,0.538346,0.750000,0.723747,0.521658,0.000000
2004-12-01,2004,2003,20,16.000000,32.000000,0.010000,0.044087,0.277251,0.076868,0.238115,0.075270,-136.570715,0.147368,0.550000,0.489898,0.570741,0.000000
2005-01-03,2005,2004,20,16.000000,32.000000,0.010000,0.045629,0.285258,0.081372,0.246477,0.021088,-110.735360,0.099248,0.350000,0.365148,0.495360,0.000000
2005-02-01,2005,2004,20,16.000000,32.000000,0.010000,0.045578,0.264228,0.069816,0.218639,0.160105,-64.653033,0.467669,0.700000,0.692820,0.506115,0.000000
2005-03-01,2005,2004,20,16.000000,64.000000,0.010000,0.043958,0.302086,0.091256,0.260819,-0.097817,-73.393851,0.186466,0.800000,0.000000,0.609463,0.000000
2005-04-01,2005,2004,20,16.000000,32.000000,0.010000,0.045600,0.288783,0.083395,0.250545,-0.003253,-78.768532,0.129323,0.450000,0.288675,0.593066,0.000000
2005-05-02,2005,2004,20,16.000000,64.000000,0.010000,0.046085,0.293909,0.086383,0.253598,-0.039189,-69.054693,0.159398,0.250000,0.250000,0.477943,0.000000
