rebalance_date,invest_year,select_year,run_number,seed,n_stocks,best_nodes,best_dropout,best_lr,best_val_loss,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,turnover,tc_drag_bps
2003-01-02,2003,2002,1,42,20,16,0.3,0.01,0.045684002339839935,0.2805368022396301,0.07870089741083736,0.24202198326587676,0.053222286786919204,-69.66098811559716,0.19849624060150375,0.6,0.7071067811865476,0.8658267609332227,0.0
2003-04-01,2003,2002,1,42,20,16,0.3,0.01,0.04517364874482155,0.3081811392152015,0.09497561456797941,0.25980218499898916,-0.142563784276444,-9.479194062312258,-0.018051900486833628,0.45,0.0,0.5886100965796117,0.0
2003-07-01,2003,2002,1,42,20,16,0.1,0.01,0.04203289747238159,0.29579683944746266,0.08749577022710801,0.2191895118355751,-0.05258069446144975,-35.99187547609313,0.0631578947368421,0.55,0.5,0.6283691054965439,0.0
2003-10-01,2003,2002,1,42,20,16,0.1,0.01,0.0432853177189827,0.3214262300652586,0.10331482137396457,0.28739010572433477,-0.24288506916047603,-19.713032592783822,0.03909774436090225,0.5,0.6416889479197478,0.3383686849753555,0.0
2004-01-02,2004,2003,1,42,20,16,0.3,0.01,0.04254773631691933,0.35217251634878355,0.1240254812714342,0.28602225005626675,-0.4920358649195091,-80.73297056440876,-0.06917293233082707,0.4,0.38924947208076144,0.44963776286410023,0.0
2004-04-01,2004,2003,1,42,20,16,0.1,0.01,0.0448123924434185,0.2975070492333403,0.08851044434352918,0.2522009533643722,-0.06478730037328329,-58.527215581992024,0.19126527714629485,0.55,0.5590169943749475,0.7696974205707094,0.0
2004-07-01,2004,2003,1,42,20,16,0.3,0.01,0.04526165872812271,0.3674819244776861,0.13504296481782377,0.3335580170154572,-0.6245770203647973,-19.358604913921766,-0.33082706766917286,0.2,0.20100756305184242,0.6097259828439202,0.0
2004-10-01,2004,2003,1,42,20,16,0.1,0.01,0.04577365517616272,0.32273502066265736,0.10415789356212588,0.2661824664473534,-0.25302729097294296,-40.42191540313741,0.03609022556390977,0.5,0.529150262212918,0.5545064554651588,0.0
2005-01-03,2005,2004,1,42,20,16,0.1,0.01,0.04479454830288887,0.3365749238286419,0.11328267935025609,0.27910623073577884,-0.3627991500782686,-40.15892220792667,-0.31729323308270674,0.4,0.4364357804719847,0.6412627173993924,0.0
2005-04-01,2005,2004,1,42,20,16,0.1,0.01,0.04517509043216705,0.30598823404281167,0.09362879937263849,0.23650135427713398,-0.12636149621219217,-62.89052356760564,0.12481203007518797,0.7,0.7071067811865476,0.7265677616761514,0.0
2005-07-01,2005,2004,1,42,20,16,0.3,0.01,0.04439259320497513,0.32627048938388037,0.1064524322427968,0.2699035280942917,-0.28063076382311936,-65.6460452486174,0.012030075187969924,0.35,0.3227486121839514,0.6747614853639843,0.0
2005-10-03,2005,2004,1,42,20,16,0.1,0.01,0.04492443427443504,0.3325008991023964,0.11055684790390197,0.2595175597071648,-0.3300071928288959,-58.192036492079254,0.08721804511278194,0.65,0.5590169943749475,0.628934815571658,0.0
2006-01-03,2006,2005,1,42,20,16,0.3,0.01,0.044323403388261795,0.29149178223368205,0.08496745910976833,0.2331808662414551,-0.022164921621273148,-46.32046503474659,0.17593984962406017,0.5,0.458257569495584,0.7674613884250632,0.0
2006-04-03,2006,2005,1,42,20,16,0.3,0.01,0.044982317835092545,0.2799695363202235,0.07838294126736092,0.24556991904973985,0.0570473230994174,-57.1772425932453,0.30526315789473685,0.7,0.6928203230275509,0.5858176153824486,0.0
2006-07-03,2006,2005,1,42,20,16,0.1,0.01,0.04782890900969505,0.3765169349024353,0.14176500226832472,0.33151715517044067,-0.7054436363106733,-22.37542082169004,-0.35639097744360904,0.45,,0.5889262169147575,0.0
