rebalance_date,invest_year,select_year,n_stocks,best_nodes,best_dropout,best_batch,best_lr,best_val_loss,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,turnover,tc_drag_bps
2014-04-01,2014,2013,20,22.400000,0.220000,44.800000,0.010000,0.036049,0.355579,0.127185,0.298358,-0.530045,-21.389262,-0.190376,0.440000,0.075210,0.453997,0.000000
2014-07-01,2014,2013,20,16.000000,0.220000,38.400000,0.010000,0.034776,0.302367,0.092201,0.264769,-0.109186,-46.966063,0.228571,0.450000,0.332504,0.384917,0.000000
2014-10-01,2014,2013,20,28.800000,0.200000,38.400000,0.010000,0.036237,0.370687,0.137453,0.303752,-0.653569,-14.190088,-0.179248,0.290000,0.069007,0.493647,0.000000
2015-01-02,2015,2014,20,22.400000,0.220000,38.400000,0.010000,0.034225,0.335187,0.112629,0.283156,-0.354938,-25.138330,-0.188271,0.630000,0.098338,0.865149,0.000000
2015-04-01,2015,2014,20,22.400000,0.200000,44.800000,0.010000,0.037272,0.359939,0.129704,0.301735,-0.560355,-25.602805,-0.204511,0.600000,0.000000,0.607080,0.000000
2015-07-01,2015,2014,20,25.600000,0.200000,38.400000,0.010000,0.035861,0.351831,0.124117,0.290505,-0.493138,-17.806518,-0.042406,0.750000,0.000000,0.512075,0.000000
2015-10-01,2015,2014,20,28.800000,0.200000,32.000000,0.010000,0.032904,0.313386,0.098436,0.270077,-0.184197,-9.652050,0.034286,0.240000,0.314241,0.567212,0.000000
2016-01-04,2016,2015,20,19.200000,0.240000,38.400000,0.010000,0.033730,0.332456,0.110799,0.289082,-0.332917,-22.274949,-0.349538,0.380000,0.194192,0.757944,0.000000
2016-04-01,2016,2015,20,25.600000,0.200000,38.400000,0.010000,0.030389,0.317225,0.100866,0.273564,-0.213424,-22.049016,-0.036993,0.480000,0.154833,0.500539,0.000000
2016-07-01,2016,2015,20,22.400000,0.240000,38.400000,0.010000,0.033718,0.318964,0.102053,0.267288,-0.227702,-14.352075,0.074887,0.500000,0.152688,0.586136,0.000000
2016-10-03,2016,2015,20,22.400000,0.200000,32.000000,0.010000,0.034539,0.335705,0.113831,0.274877,-0.369396,-3.476562,0.200614,0.480000,0.104447,0.578864,0.000000
2017-01-03,2017,2016,20,22.400000,0.220000,44.800000,0.010000,0.037070,0.325128,0.105935,0.271361,-0.274400,-11.225489,0.191445,0.290000,0.144016,0.754868,0.000000
2017-04-03,2017,2016,20,28.800000,0.220000,32.000000,0.010000,0.035330,0.338910,0.115631,0.285208,-0.391051,-50.423986,-0.131429,0.390000,0.292226,0.556170,0.000000
2017-07-03,2017,2016,20,16.000000,0.240000,38.400000,0.010000,0.035844,0.301242,0.090840,0.261557,-0.092807,-29.177642,-0.011293,0.430000,0.255228,0.553617,0.000000
