rebalance_date,invest_year,select_year,ticker,assigned_weight,turnover,tc_drag_bps,best_nodes,best_dropout,best_batch,best_lr,best_val_loss,run_number,seed
2005-06-01,2005,2004,IBM,0.01288683619350195,0.0,0.0,32,0.2,64,0.01,0.032688,3,44
2005-06-01,2005,2004,WMT,0.01288683619350195,0.0,0.0,32,0.2,64,0.01,0.032688,3,44
2005-07-01,2005,2004,WFC,0.09706238657236099,0.483638,0.0,32,0.3,64,0.01,0.045417,3,44
2005-07-01,2005,2004,BAC,0.07442768663167953,0.0,0.0,32,0.3,64,0.01,0.045417,3,44
2005-07-01,2005,2004,INTC,0.07343970984220505,0.0,0.0,32,0.3,64,0.01,0.045417,3,44
2005-07-01,2005,2004,AIG,0.0712432935833931,0.0,0.0,32,0.3,64,0.01,0.045417,3,44
2005-07-01,2005,2004,C,0.06612291932106018,0.0,0.0,32,0.3,64,0.01,0.045417,3,44
2005-07-01,2005,2004,PFE,0.06442143768072128,0.0,0.0,32,0.3,64,0.01,0.045417,3,44
2005-07-01,2005,2004,JNJ,0.05771983787417412,0.0,0.0,32,0.3,64,0.01,0.045417,3,44
2005-07-01,2005,2004,GE,0.056913577020168304,0.0,0.0,32,0.3,64,0.01,0.045417,3,44
2005-07-01,2005,2004,MSFT,0.05088786035776138,0.0,0.0,32,0.3,64,0.01,0.045417,3,44
2005-07-01,2005,2004,PG,0.050120119005441666,0.0,0.0,32,0.3,64,0.01,0.045417,3,44
2005-07-01,2005,2004,VZ,0.046241939067840576,0.0,0.0,32,0.3,64,0.01,0.045417,3,44
2005-07-01,2005,2004,JPM,0.04620504751801491,0.0,0.0,32,0.3,64,0.01,0.045417,3,44
2005-07-01,2005,2004,KO,0.045316293835639954,0.0,0.0,32,0.3,64,0.01,0.045417,3,44
2005-07-01,2005,2004,CSCO,0.044038720428943634,0.0,0.0,32,0.3,64,0.01,0.045417,3,44
2005-07-01,2005,2004,XOM,0.04109027981758118,0.0,0.0,32,0.3,64,0.01,0.045417,3,44
2005-07-01,2005,2004,HD,0.03490840271115303,0.0,0.0,32,0.3,64,0.01,0.045417,3,44
2005-07-01,2005,2004,CVX,0.0343170203268528,0.0,0.0,32,0.3,64,0.01,0.045417,3,44
2005-07-01,2005,2004,UPS,0.020625712350010872,0.0,0.0,32,0.3,64,0.01,0.045417,3,44
2005-07-01,2005,2004,WMT,0.014898695051670074,0.0,0.0,32,0.3,64,0.01,0.045417,3,44
2005-07-01,2005,2004,IBM,0.00999902281910181,0.0,0.0,32,0.3,64,0.01,0.045417,3,44
2005-08-01,2005,2004,JNJ,0.10000353306531906,0.513001,0.0,32,0.2,32,0.01,0.038474,3,44
2005-08-01,2005,2004,GE,0.10000353306531906,0.0,0.0,32,0.2,32,0.01,0.038474,3,44
2005-08-01,2005,2004,PFE,0.09208637475967407,0.0,0.0,32,0.2,32,0.01,0.038474,3,44
2005-08-01,2005,2004,CSCO,0.08605951070785522,0.0,0.0,32,0.2,32,0.01,0.038474,3,44
2005-08-01,2005,2004,XOM,0.08578526973724365,0.0,0.0,32,0.2,32,0.01,0.038474,3,44
2005-08-01,2005,2004,C,0.08348207920789719,0.0,0.0,32,0.2,32,0.01,0.038474,3,44
2005-08-01,2005,2004,BAC,0.0794120579957962,0.0,0.0,32,0.2,32,0.01,0.038474,3,44
2005-08-01,2005,2004,INTC,0.0729784443974495,0.0,0.0,32,0.2,32,0.01,0.038474,3,44
2005-08-01,2005,2004,AIG,0.07016139477491379,0.0,0.0,32,0.2,32,0.01,0.038474,3,44
2005-08-01,2005,2004,WFC,0.041319653391838074,0.0,0.0,32,0.2,32,0.01,0.038474,3,44
2005-08-01,2005,2004,KO,0.03638672083616257,0.0,0.0,32,0.2,32,0.01,0.038474,3,44
2005-08-01,2005,2004,CVX,0.03147142753005028,0.0,0.0,32,0.2,32,0.01,0.038474,3,44
2005-08-01,2005,2004,IBM,0.03143775090575218,0.0,0.0,32,0.2,32,0.01,0.038474,3,44
2005-08-01,2005,2004,JPM,0.01680741086602211,0.0,0.0,32,0.2,32,0.01,0.038474,3,44
2005-08-01,2005,2004,WMT,0.015520118176937103,0.0,0.0,32,0.2,32,0.01,0.038474,3,44
2005-08-01,2005,2004,VZ,0.015282545238733292,0.0,0.0,32,0.2,32,0.01,0.038474,3,44
2005-08-01,2005,2004,UPS,0.011636583134531975,0.0,0.0,32,0.2,32,0.01,0.038474,3,44
2005-08-01,2005,2004,MSFT,0.010055199265480042,0.0,0.0,32,0.2,32,0.01,0.038474,3,44
2005-08-01,2005,2004,HD,0.010055199265480042,0.0,0.0,32,0.2,32,0.01,0.038474,3,44
