rebalance_date,ticker,invest_year,select_year,assigned_weight,turnover,tc_drag_bps,best_nodes,best_batch,best_lr,best_val_loss
2011-01-03,INTC,2011,2010,0.030540,0.000000,0.000000,16.000000,48.000000,0.010000,0.038011
2011-01-03,JNJ,2011,2010,0.040921,0.000000,0.000000,16.000000,48.000000,0.010000,0.038011
2011-01-03,JPM,2011,2010,0.059251,0.000000,0.000000,16.000000,48.000000,0.010000,0.038011
2011-01-03,KO,2011,2010,0.097639,0.000000,0.000000,16.000000,48.000000,0.010000,0.038011
2011-01-03,MSFT,2011,2010,0.053930,0.000000,0.000000,16.000000,48.000000,0.010000,0.038011
2011-01-03,ORCL,2011,2010,0.025752,0.000000,0.000000,16.000000,48.000000,0.010000,0.038011
2011-01-03,PFE,2011,2010,0.097386,0.000000,0.000000,16.000000,48.000000,0.010000,0.038011
2011-01-03,PG,2011,2010,0.013603,0.000000,0.000000,16.000000,48.000000,0.010000,0.038011
2011-01-03,T,2011,2010,0.085835,0.000000,0.000000,16.000000,48.000000,0.010000,0.038011
2011-01-03,WFC,2011,2010,0.034253,0.000000,0.000000,16.000000,48.000000,0.010000,0.038011
2011-01-03,WMT,2011,2010,0.052328,0.000000,0.000000,16.000000,48.000000,0.010000,0.038011
2011-01-03,XOM,2011,2010,0.099323,0.705240,0.000000,16.000000,48.000000,0.010000,0.038011
2011-07-01,AAPL,2011,2010,0.061307,0.000000,0.000000,16.000000,32.000000,0.010000,0.037377
2011-07-01,BAC,2011,2010,0.009999,0.000000,0.000000,16.000000,32.000000,0.010000,0.037377
2011-07-01,BRK-B,2011,2010,0.058335,0.000000,0.000000,16.000000,32.000000,0.010000,0.037377
2011-07-01,C,2011,2010,0.029045,0.000000,0.000000,16.000000,32.000000,0.010000,0.037377
2011-07-01,CVX,2011,2010,0.055007,0.000000,0.000000,16.000000,32.000000,0.010000,0.037377
2011-07-01,GE,2011,2010,0.083370,0.318983,0.000000,16.000000,32.000000,0.010000,0.037377
2011-07-01,GOOGL,2011,2010,0.040288,0.000000,0.000000,16.000000,32.000000,0.010000,0.037377
2011-07-01,IBM,2011,2010,0.018520,0.000000,0.000000,16.000000,32.000000,0.010000,0.037377
2011-07-01,INTC,2011,2010,0.038475,0.000000,0.000000,16.000000,32.000000,0.010000,0.037377
2011-07-01,JNJ,2011,2010,0.068785,0.000000,0.000000,16.000000,32.000000,0.010000,0.037377
2011-07-01,JPM,2011,2010,0.049304,0.000000,0.000000,16.000000,32.000000,0.010000,0.037377
2011-07-01,KO,2011,2010,0.066667,0.000000,0.000000,16.000000,32.000000,0.010000,0.037377
2011-07-01,MSFT,2011,2010,0.048407,0.000000,0.000000,16.000000,32.000000,0.010000,0.037377
2011-07-01,ORCL,2011,2010,0.058780,0.000000,0.000000,16.000000,32.000000,0.010000,0.037377
2011-07-01,PFE,2011,2010,0.063820,0.000000,0.000000,16.000000,32.000000,0.010000,0.037377
2011-07-01,PG,2011,2010,0.074160,0.000000,0.000000,16.000000,32.000000,0.010000,0.037377
2011-07-01,T,2011,2010,0.032240,0.000000,0.000000,16.000000,32.000000,0.010000,0.037377
2011-07-01,WFC,2011,2010,0.030271,0.000000,0.000000,16.000000,32.000000,0.010000,0.037377
2011-07-01,WMT,2011,2010,0.033157,0.000000,0.000000,16.000000,32.000000,0.010000,0.037377
2011-07-01,XOM,2011,2010,0.080064,0.285253,0.000000,16.000000,32.000000,0.010000,0.037377
2012-01-03,AAPL,2012,2011,0.040765,0.000000,0.000000,16.000000,32.000000,0.010000,0.035783
2012-01-03,BRK-B,2012,2011,0.100008,0.359163,0.000000,16.000000,32.000000,0.010000,0.035783
2012-01-03,CVX,2012,2011,0.053443,0.000000,0.000000,16.000000,32.000000,0.010000,0.035783
2012-01-03,GE,2012,2011,0.036902,0.000000,0.000000,16.000000,32.000000,0.010000,0.035783
2012-01-03,GOOGL,2012,2011,0.059434,0.481144,0.000000,16.000000,32.000000,0.010000,0.035783
2012-01-03,IBM,2012,2011,0.057950,0.000000,0.000000,16.000000,32.000000,0.010000,0.035783
2012-01-03,INTC,2012,2011,0.073511,0.000000,0.000000,16.000000,32.000000,0.010000,0.035783
2012-01-03,JNJ,2012,2011,0.016068,0.000000,0.000000,16.000000,32.000000,0.010000,0.035783
2012-01-03,JPM,2012,2011,0.042838,0.000000,0.000000,16.000000,32.000000,0.010000,0.035783
2012-01-03,KO,2012,2011,0.041949,0.000000,0.000000,16.000000,32.000000,0.010000,0.035783
2012-01-03,MSFT,2012,2011,0.031660,0.000000,0.000000,16.000000,32.000000,0.010000,0.035783
2012-01-03,ORCL,2012,2011,0.020977,0.000000,0.000000,16.000000,32.000000,0.010000,0.035783
2012-01-03,PFE,2012,2011,0.062411,0.000000,0.000000,16.000000,32.000000,0.010000,0.035783
2012-01-03,PG,2012,2011,0.013478,0.000000,0.000000,16.000000,32.000000,0.010000,0.035783
2012-01-03,PM,2012,2011,0.046182,0.000000,0.000000,16.000000,32.000000,0.010000,0.035783
2012-01-03,T,2012,2011,0.081252,0.000000,0.000000,16.000000,32.000000,0.010000,0.035783
2012-01-03,VZ,2012,2011,0.072895,0.000000,0.000000,16.000000,32.000000,0.010000,0.035783
2012-01-03,WFC,2012,2011,0.091314,0.000000,0.000000,16.000000,32.000000,0.010000,0.035783
2012-01-03,WMT,2012,2011,0.024643,0.000000,0.000000,16.000000,32.000000,0.010000,0.035783
2012-01-03,XOM,2012,2011,0.032319,0.000000,0.000000,16.000000,32.000000,0.010000,0.035783
2012-07-02,AAPL,2012,2011,0.062498,0.000000,0.000000,16.000000,48.000000,0.010000,0.037714
2012-07-02,BRK-B,2012,2011,0.034938,0.000000,0.000000,16.000000,48.000000,0.010000,0.037714
2012-07-02,CVX,2012,2011,0.025645,0.000000,0.000000,16.000000,48.000000,0.010000,0.037714
2012-07-02,GE,2012,2011,0.052516,0.000000,0.000000,16.000000,48.000000,0.010000,0.037714
2012-07-02,GOOGL,2012,2011,0.031634,0.000000,0.000000,16.000000,48.000000,0.010000,0.037714
2012-07-02,IBM,2012,2011,0.053542,0.000000,0.000000,16.000000,48.000000,0.010000,0.037714
2012-07-02,INTC,2012,2011,0.078544,0.000000,0.000000,16.000000,48.000000,0.010000,0.037714
2012-07-02,JNJ,2012,2011,0.018803,0.000000,0.000000,16.000000,48.000000,0.010000,0.037714
2012-07-02,JPM,2012,2011,0.024380,0.000000,0.000000,16.000000,48.000000,0.010000,0.037714
2012-07-02,KO,2012,2011,0.073983,0.000000,0.000000,16.000000,48.000000,0.010000,0.037714
2012-07-02,MSFT,2012,2011,0.083840,0.352509,0.000000,16.000000,48.000000,0.010000,0.037714
2012-07-02,ORCL,2012,2011,0.037392,0.000000,0.000000,16.000000,48.000000,0.010000,0.037714
2012-07-02,PFE,2012,2011,0.015904,0.000000,0.000000,16.000000,48.000000,0.010000,0.037714
2012-07-02,PG,2012,2011,0.044891,0.000000,0.000000,16.000000,48.000000,0.010000,0.037714
2012-07-02,PM,2012,2011,0.093583,0.350831,0.000000,16.000000,48.000000,0.010000,0.037714
2012-07-02,T,2012,2011,0.071308,0.000000,0.000000,16.000000,48.000000,0.010000,0.037714
2012-07-02,VZ,2012,2011,0.060340,0.000000,0.000000,16.000000,48.000000,0.010000,0.037714
2012-07-02,WFC,2012,2011,0.012057,0.000000,0.000000,16.000000,48.000000,0.010000,0.037714
2012-07-02,WMT,2012,2011,0.083001,0.000000,0.000000,16.000000,48.000000,0.010000,0.037714
2012-07-02,XOM,2012,2011,0.041202,0.000000,0.000000,16.000000,48.000000,0.010000,0.037714
2013-01-02,AAPL,2013,2012,0.010112,0.000000,0.000000,24.000000,48.000000,0.010000,0.037856
2013-01-02,BAC,2013,2012,0.013436,0.000000,0.000000,24.000000,48.000000,0.010000,0.037856
2013-01-02,BRK-B,2013,2012,0.026630,0.000000,0.000000,24.000000,48.000000,0.010000,0.037856
2013-01-02,CVX,2013,2012,0.081387,0.000000,0.000000,24.000000,48.000000,0.010000,0.037856
2013-01-02,GE,2013,2012,0.063150,0.000000,0.000000,24.000000,48.000000,0.010000,0.037856
2013-01-02,GOOGL,2013,2012,0.019549,0.000000,0.000000,24.000000,48.000000,0.010000,0.037856
2013-01-02,IBM,2013,2012,0.048682,0.000000,0.000000,24.000000,48.000000,0.010000,0.037856
2013-01-02,JNJ,2013,2012,0.012905,0.000000,0.000000,24.000000,48.000000,0.010000,0.037856
2013-01-02,JPM,2013,2012,0.015894,0.000000,0.000000,24.000000,48.000000,0.010000,0.037856
2013-01-02,KO,2013,2012,0.081090,0.000000,0.000000,24.000000,48.000000,0.010000,0.037856
2013-01-02,MSFT,2013,2012,0.026573,0.000000,0.000000,24.000000,48.000000,0.010000,0.037856
2013-01-02,ORCL,2013,2012,0.032836,0.000000,0.000000,24.000000,48.000000,0.010000,0.037856
2013-01-02,PFE,2013,2012,0.050612,0.000000,0.000000,24.000000,48.000000,0.010000,0.037856
2013-01-02,PG,2013,2012,0.031227,0.000000,0.000000,24.000000,48.000000,0.010000,0.037856
2013-01-02,PM,2013,2012,0.097053,0.000000,0.000000,24.000000,48.000000,0.010000,0.037856
2013-01-02,T,2013,2012,0.099669,0.233489,0.000000,24.000000,48.000000,0.010000,0.037856
2013-01-02,VZ,2013,2012,0.086464,0.000000,0.000000,24.000000,48.000000,0.010000,0.037856
2013-01-02,WFC,2013,2012,0.020712,0.000000,0.000000,24.000000,48.000000,0.010000,0.037856
2013-01-02,WMT,2013,2012,0.099669,0.322014,0.000000,24.000000,48.000000,0.010000,0.037856
2013-01-02,XOM,2013,2012,0.082349,0.000000,0.000000,24.000000,48.000000,0.010000,0.037856
2013-07-01,AAPL,2013,2012,0.027752,0.000000,0.000000,24.000000,48.000000,0.010000,0.036069
2013-07-01,BAC,2013,2012,0.036228,0.000000,0.000000,24.000000,48.000000,0.010000,0.036069
2013-07-01,BRK-B,2013,2012,0.056145,0.000000,0.000000,24.000000,48.000000,0.010000,0.036069
2013-07-01,CVX,2013,2012,0.099666,0.672192,0.000000,24.000000,48.000000,0.010000,0.036069
2013-07-01,GE,2013,2012,0.028007,0.000000,0.000000,24.000000,48.000000,0.010000,0.036069
2013-07-01,GOOGL,2013,2012,0.056172,0.000000,0.000000,24.000000,48.000000,0.010000,0.036069
2013-07-01,IBM,2013,2012,0.057827,0.000000,0.000000,24.000000,48.000000,0.010000,0.036069
2013-07-01,JNJ,2013,2012,0.028586,0.000000,0.000000,24.000000,48.000000,0.010000,0.036069
2013-07-01,JPM,2013,2012,0.063200,0.000000,0.000000,24.000000,48.000000,0.010000,0.036069
2013-07-01,KO,2013,2012,0.035384,0.000000,0.000000,24.000000,48.000000,0.010000,0.036069
2013-07-01,MSFT,2013,2012,0.010135,0.000000,0.000000,24.000000,48.000000,0.010000,0.036069
2013-07-01,ORCL,2013,2012,0.059264,0.000000,0.000000,24.000000,48.000000,0.010000,0.036069
2013-07-01,PFE,2013,2012,0.026775,0.000000,0.000000,24.000000,48.000000,0.010000,0.036069
2013-07-01,PG,2013,2012,0.063784,0.000000,0.000000,24.000000,48.000000,0.010000,0.036069
2013-07-01,PM,2013,2012,0.063493,0.000000,0.000000,24.000000,48.000000,0.010000,0.036069
2013-07-01,T,2013,2012,0.053496,0.000000,0.000000,24.000000,48.000000,0.010000,0.036069
2013-07-01,VZ,2013,2012,0.035070,0.000000,0.000000,24.000000,48.000000,0.010000,0.036069
2013-07-01,WFC,2013,2012,0.089736,0.000000,0.000000,24.000000,48.000000,0.010000,0.036069
2013-07-01,WMT,2013,2012,0.049589,0.000000,0.000000,24.000000,48.000000,0.010000,0.036069
2013-07-01,XOM,2013,2012,0.059691,0.000000,0.000000,24.000000,48.000000,0.010000,0.036069
2014-01-02,AAPL,2014,2013,0.086961,0.484531,0.000000,16.000000,64.000000,0.010000,0.042543
