rebalance_date,invest_year,select_year,n_stocks,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,best_learning_rate,best_max_depth,best_min_child_weight,best_gamma,best_n_estimators,best_reg_lambda,best_subsample,best_colsample,val_R2_selected,turnover,tc_drag_bps
2019-01-02,2019,2018,20,0.26738344124716823,0.07149390465317787,0.2209310257434845,0.13992295154071732,-4.001916680591452,0.4984139081663309,0.7,,0.05,1,1,0.5,200,3,1.0,1.0,-0.03137732335450227,0.5081601139593404,0.0
2019-07-01,2019,2018,20,0.2899254172441047,0.08405674756416821,0.24827886939048766,-0.01120899325315139,-6.886079981811598,0.4045131436379298,0.8,0.0,0.05,5,5,0.5,100,1,1.0,1.0,-0.04011331606693913,0.47890940688994565,0.0
2020-01-02,2020,2019,20,0.2824691746418606,0.07978883462285395,0.24397971749305727,0.04013432032656916,-7.702882080352522,0.2229267454970367,0.45,0.28426762180748055,0.05,1,1,0.5,200,5,1.0,1.0,-0.0683059404109283,0.54983732805045,0.0
2020-07-01,2020,2019,20,0.2842304417772761,0.08078694403290551,0.23729179918766025,0.028126989077828735,-1.137312426211186,0.14264252504829375,0.4,0.0,0.1,2,1,0.5,135,5,1.0,1.0,0.04912690660041552,0.6122709537576503,0.0
2021-01-04,2021,2020,20,0.2804750665133262,0.07866626293565478,0.2307423168420792,0.05363894212746145,-2.2248100696028894,0.3142857142857143,0.8,0.7211102550927979,0.05,1,1,0.5,135,5,0.8,0.8,0.09329015912711269,0.7385208789603832,0.0
2021-07-01,2021,2020,20,0.28974034307218444,0.08394946640358714,0.2556876790523529,-0.009918392825108313,-3.1798608811019955,0.015037593984962403,0.45,0.29649972666444047,0.05,1,1,0.5,100,3,0.8,1.0,0.14404401680046686,0.27490938455706443,0.0
2022-01-03,2022,2021,20,0.3144131954382039,0.09885565746566219,0.27162276655435563,-0.1892409920681164,-6.629978659243773,-0.35218863108832654,0.3,0.37267799624996495,0.05,5,1,0.5,100,5,1.0,1.0,0.03250634411321107,0.5362326934469195,0.0
2022-07-01,2022,2021,20,0.32424639683683704,0.10513572586167161,0.2785646480321885,-0.2647906870577037,-12.38160116287446,-0.36733181111322627,0.55,0.3178208630818641,0.05,2,5,0.0,100,5,1.0,1.0,0.08154888823536999,0.5538114822854587,0.0
2023-01-03,2023,2022,20,0.26607541488071873,0.0707961264039466,0.22848825871944428,0.14831727634349945,0.2470103662267762,0.6656574053714301,0.75,0.0,0.05,1,1,0.5,200,3,1.0,1.0,-0.022003261459478285,0.8806519599367426,0.0
2023-07-03,2023,2022,20,0.29025125445567596,0.08424579071309356,0.24436517775058747,-0.013483196548494059,-14.932633320335157,0.23817188800114605,0.7,0.0,0.1,1,1,0.5,100,5,1.0,1.0,-0.07269408478827044,0.4703153872538625,0.0
2024-01-02,2024,2023,20,0.2919834966198129,0.08525436229833229,0.25103813260793684,-0.025616388551365832,-0.09533696679279657,0.13092554496401212,0.65,0.0,0.05,1,1,0.5,200,5,1.0,1.0,-0.053322914823430434,0.6740890605009775,0.0
2024-07-01,2024,2023,20,0.2773923270066373,0.07694650308215721,0.24562368988990785,0.07432778247028926,-1.6505173855359931,0.09074482730258114,0.65,0.0,0.3,1,1,0.5,100,1,1.0,0.8,0.06717235527190368,0.42735452644202576,0.0
2025-01-02,2025,2024,20,0.2914851194507402,0.08496357486121227,0.2488615900278091,-0.022118193819094856,-8.529058358898789,0.02857142857142857,0.6,0.5929994533288809,0.1,1,10,0.5,200,1,0.8,1.0,0.07985498641337951,0.5581957675484205,0.0
2025-07-01,2025,2024,20,0.28756555950043255,0.08269395101079681,0.2514277040958404,0.0051855517498130554,-1.998944887570274,-0.10375939849624059,0.55,0.33149677206589795,0.3,5,5,0.5,100,1,1.0,0.8,0.024017024654380825,0.6157422945451734,0.0
