rebalance_date,invest_year,select_year,ticker,assigned_weight,turnover,tc_drag_bps,best_learning_rate,best_max_depth,best_n_estimators,best_reg_lambda,best_subsample,best_colsample,val_R2_selected
2003-01-02,2003,2002,MRK,0.10000544041395187,0.0,0.0,0.1,1,100,5,1.0,1.0,-0.161635
2003-01-02,2003,2002,PG,0.08586093783378601,0.0,0.0,0.1,1,100,5,1.0,1.0,-0.161635
2003-01-02,2003,2002,WFC,0.08586093783378601,0.0,0.0,0.1,1,100,5,1.0,1.0,-0.161635
2003-01-02,2003,2002,BAC,0.08586093783378601,0.0,0.0,0.1,1,100,5,1.0,1.0,-0.161635
2003-01-02,2003,2002,VZ,0.05613158270716667,0.0,0.0,0.1,1,100,5,1.0,1.0,-0.161635
2003-01-02,2003,2002,IBM,0.047857895493507385,0.0,0.0,0.1,1,100,5,1.0,1.0,-0.161635
2003-01-02,2003,2002,LLY,0.04554158076643944,0.0,0.0,0.1,1,100,5,1.0,1.0,-0.161635
2003-01-02,2003,2002,MSFT,0.03709060326218605,0.0,0.0,0.1,1,100,5,1.0,1.0,-0.161635
2003-01-02,2003,2002,C,0.03709060326218605,0.0,0.0,0.1,1,100,5,1.0,1.0,-0.161635
2003-01-02,2003,2002,WMT,0.036538317799568176,0.0,0.0,0.1,1,100,5,1.0,1.0,-0.161635
2003-01-02,2003,2002,KO,0.036538317799568176,0.0,0.0,0.1,1,100,5,1.0,1.0,-0.161635
2003-01-02,2003,2002,JNJ,0.036538317799568176,0.0,0.0,0.1,1,100,5,1.0,1.0,-0.161635
2003-01-02,2003,2002,AIG,0.01981365866959095,0.0,0.0,0.1,1,100,5,1.0,1.0,-0.161635
2003-01-02,2003,2002,PFE,0.01981365866959095,0.0,0.0,0.1,1,100,5,1.0,1.0,-0.161635
2003-01-02,2003,2002,GE,0.01981365866959095,0.0,0.0,0.1,1,100,5,1.0,1.0,-0.161635
2003-01-02,2003,2002,XOM,0.017497343942523003,0.0,0.0,0.1,1,100,5,1.0,1.0,-0.161635
2003-01-02,2003,2002,PEP,0.017497343942523003,0.0,0.0,0.1,1,100,5,1.0,1.0,-0.161635
2003-01-02,2003,2002,CVX,0.01463788840919733,0.0,0.0,0.1,1,100,5,1.0,1.0,-0.161635
2004-01-02,2004,2003,MRK,0.10000743716955185,0.904978,0.0,0.3,1,100,1,1.0,0.8,0.0265
2004-01-02,2004,2003,UPS,0.10000743716955185,0.0,0.0,0.3,1,100,1,1.0,0.8,0.0265
2004-01-02,2004,2003,PFE,0.06006242707371712,0.0,0.0,0.3,1,100,1,1.0,0.8,0.0265
2004-01-02,2004,2003,AIG,0.06006242707371712,0.0,0.0,0.3,1,100,1,1.0,0.8,0.0265
2004-01-02,2004,2003,KO,0.06006242707371712,0.0,0.0,0.3,1,100,1,1.0,0.8,0.0265
2004-01-02,2004,2003,VZ,0.0560859851539135,0.0,0.0,0.3,1,100,1,1.0,0.8,0.0265
2004-01-02,2004,2003,MSFT,0.0560859851539135,0.0,0.0,0.3,1,100,1,1.0,0.8,0.0265
2004-01-02,2004,2003,HD,0.0560859851539135,0.0,0.0,0.3,1,100,1,1.0,0.8,0.0265
2004-01-02,2004,2003,JNJ,0.05436474084854126,0.0,0.0,0.3,1,100,1,1.0,0.8,0.0265
2004-01-02,2004,2003,C,0.05436474084854126,0.0,0.0,0.3,1,100,1,1.0,0.8,0.0265
2004-01-02,2004,2003,WMT,0.05436474084854126,0.0,0.0,0.3,1,100,1,1.0,0.8,0.0265
2004-01-02,2004,2003,PG,0.04391583800315857,0.0,0.0,0.3,1,100,1,1.0,0.8,0.0265
2004-01-02,2004,2003,XOM,0.040007732808589935,0.0,0.0,0.3,1,100,1,1.0,0.8,0.0265
2004-01-02,2004,2003,BAC,0.040007732808589935,0.0,0.0,0.3,1,100,1,1.0,0.8,0.0265
2004-01-02,2004,2003,IBM,0.040007732808589935,0.0,0.0,0.3,1,100,1,1.0,0.8,0.0265
2004-01-02,2004,2003,GE,0.040007732808589935,0.0,0.0,0.3,1,100,1,1.0,0.8,0.0265
2004-01-02,2004,2003,WFC,0.040007732808589935,0.0,0.0,0.3,1,100,1,1.0,0.8,0.0265
2004-01-02,2004,2003,CVX,0.01792178861796856,0.0,0.0,0.3,1,100,1,1.0,0.8,0.0265
2004-01-02,2004,2003,INTC,0.016443423926830292,0.0,0.0,0.3,1,100,1,1.0,0.8,0.0265
2004-01-02,2004,2003,CSCO,0.010126045905053616,0.0,0.0,0.3,1,100,1,1.0,0.8,0.0265
2005-01-03,2005,2004,WFC,0.09993227571249008,0.545926,0.0,0.3,1,200,3,1.0,1.0,-0.050995
2005-01-03,2005,2004,UPS,0.09266308695077896,0.0,0.0,0.3,1,200,3,1.0,1.0,-0.050995
2005-01-03,2005,2004,C,0.08510459214448929,0.0,0.0,0.3,1,200,3,1.0,1.0,-0.050995
2005-01-03,2005,2004,IBM,0.07453233748674393,0.0,0.0,0.3,1,200,3,1.0,1.0,-0.050995
2005-01-03,2005,2004,WMT,0.07347088307142258,0.0,0.0,0.3,1,200,3,1.0,1.0,-0.050995
2005-01-03,2005,2004,BAC,0.0587395504117012,0.0,0.0,0.3,1,200,3,1.0,1.0,-0.050995
2005-01-03,2005,2004,PG,0.05799500271677971,0.0,0.0,0.3,1,200,3,1.0,1.0,-0.050995
2005-01-03,2005,2004,PFE,0.054035723209381104,0.0,0.0,0.3,1,200,3,1.0,1.0,-0.050995
2005-01-03,2005,2004,KO,0.054035723209381104,0.0,0.0,0.3,1,200,3,1.0,1.0,-0.050995
2005-01-03,2005,2004,MSFT,0.0463612899184227,0.0,0.0,0.3,1,200,3,1.0,1.0,-0.050995
2005-01-03,2005,2004,AIG,0.04614891856908798,0.0,0.0,0.3,1,200,3,1.0,1.0,-0.050995
2005-01-03,2005,2004,JPM,0.04390741512179375,0.0,0.0,0.3,1,200,3,1.0,1.0,-0.050995
2005-01-03,2005,2004,JNJ,0.0430627278983593,0.0,0.0,0.3,1,200,3,1.0,1.0,-0.050995
2005-01-03,2005,2004,XOM,0.0430627278983593,0.0,0.0,0.3,1,200,3,1.0,1.0,-0.050995
2005-01-03,2005,2004,CSCO,0.03235441446304321,0.0,0.0,0.3,1,200,3,1.0,1.0,-0.050995
2005-01-03,2005,2004,INTC,0.03235441446304321,0.0,0.0,0.3,1,200,3,1.0,1.0,-0.050995
2005-01-03,2005,2004,GE,0.0273700263351202,0.0,0.0,0.3,1,200,3,1.0,1.0,-0.050995
