rebalance_date,n_stocks,best_learning_rate,best_max_depth,best_reg_lambda,best_n_estimators,best_gamma,RMSE,MSE,MAE,R_squared,Spearman,Directional_Accuracy,Geometric_Score
2012-10-01,20,0.01,1,5,50,0.0,0.28938304131947695,0.0837425446033101,0.24842616319656372,-0.0074291080097455,0.012560711678683474,0.25,0.0
2013-01-02,20,0.01,1,5,50,0.0,0.2917956031074954,0.085144673992867,0.25192763209342955,-0.024296829989377544,-0.16748541212599868,0.9,0.0
2013-04-01,20,0.01,1,5,50,0.0,0.292717329575504,0.08568343503381422,0.2533968508243561,-0.030778165820321446,-0.32683237818287314,0.5,0.0
2013-07-01,20,0.01,1,3,50,0.0,0.28650822929796516,0.0820869654554554,0.24810186326503753,0.012487633618581628,0.14557540302311037,0.45,0.0
2013-10-01,20,0.01,3,3,50,0.0,0.29121590563835886,0.08480670369676954,0.2543977528810501,-0.02023102191602466,-0.11888641439260872,0.9,
2014-01-02,20,0.01,2,5,50,0.0,0.29018698442279134,0.08420848592839335,0.2495418906211853,-0.01303441718367937,-0.02940078081856052,0.5,0.0
2014-04-01,20,0.01,5,5,100,0.1,0.28225102828597104,0.07966564296848803,0.24858324080705643,0.04161632519112135,0.2489657942142471,0.45,0.42640143271122083
2014-07-01,20,0.01,5,1,50,0.0,0.29462052766451086,0.0868012553213148,0.25457292050123215,-0.044225627925591704,-0.18345864661654135,0.55,0.3227486121839514
2014-10-01,20,0.01,5,1,50,0.1,0.2867326038108188,0.08221558608813197,0.24808932542800904,0.010940317736758298,0.045112781954887216,0.75,0.408248290463863
2015-01-02,19,0.01,5,5,50,0.1,0.2851956132075829,0.08133653779284925,0.2470010655243311,0.021250328559380693,0.18947368421052632,0.5789473684210527,0.6201736729460423
2015-04-01,19,0.01,1,5,50,0.0,0.28796588750034724,0.08292435236386264,0.2491124204651471,0.0021436265548530065,0.26017207149467925,0.3684210526315789,0.0
2015-07-01,19,0.01,1,3,50,0.0,0.2890069071854395,0.08352499240089321,0.2503878708691478,-0.005084075224081497,-0.07554012282809834,0.21052631578947367,0.0
2015-10-01,19,0.01,1,5,50,0.0,0.2914257206424016,0.08492895065194309,0.25299158997813087,-0.021978372845048444,-0.26341682621248336,0.8947368421052632,0.0
2016-01-04,20,0.01,2,5,50,0.0,0.29386393625362717,0.08635601303047587,0.25759438872337337,-0.03886932968993517,-0.14086653981696884,0.7,0.0
2016-04-01,20,0.01,1,5,50,0.0,0.2898513550597118,0.08401380802995113,0.25211381316185,-0.010692427427983375,-0.08357287448141892,0.5,0.0
2016-07-01,20,0.01,1,3,50,0.0,0.2779493136302903,0.07725582094754949,0.24175005555152893,0.0706066652926377,0.6833311501716017,0.5,0.0
2016-10-03,20,0.01,1,1,50,0.0,0.2897678067410886,0.08396538182354088,0.2510655850172043,-0.010109856523800032,-0.06174389483301693,0.55,0.0
2017-01-03,20,0.01,1,5,50,0.0,0.2837197816639659,0.08049691450744846,0.24612698554992676,0.031616066075808025,0.2152692549583563,0.75,0.0
2017-04-03,20,0.01,1,5,100,0.0,0.28538205986180293,0.08144292009096568,0.24759118080139159,0.020235547777856633,0.02576953494832065,0.65,0.6629935441317959
2017-07-03,20,0.01,1,5,50,0.0,0.28891825932546383,0.08347376057165597,0.24762173891067504,-0.004195615899620364,-0.05243788202755697,0.9,0.0
2017-10-02,20,0.01,2,5,100,0.1,0.27887088035033775,0.0777689679073724,0.2340821087360382,0.06443346878348988,0.3006789899292837,0.8,
2018-01-02,20,0.01,1,1,200,0.0,0.2825823794774798,0.07985280119115437,0.24522960782051087,0.03936479770039869,-0.012154076185624087,0.45,0.46880723093849547
2018-04-02,20,0.1,1,3,50,0.0,0.2993777540185002,0.08962703960116161,0.2604050856828689,-0.07822002527713212,-0.015807311543806865,0.65,0.5863019699779287
2018-07-02,20,0.01,1,5,200,0.0,0.3075621091895197,0.09459445100910605,0.2621253505349159,-0.13797835800428349,-0.2956513161181499,0.45,0.0
2018-10-01,20,0.01,1,1,200,0.0,0.30545691672306535,0.09330392797396168,0.2586267617344856,-0.12245326885968932,-0.21945000342360282,0.35,0.3429971702850177
2019-01-02,20,0.05,1,1,50,0.0,0.2620130137161355,0.06865081935661181,0.22759164839982984,0.1741254814242187,0.5572597125690453,0.65,0.7817359599705717
2019-04-01,20,0.05,1,1,50,0.0,0.2932605094255746,0.0860017263885475,0.2502644684910774,-0.034607234749443716,-0.0476740849409289,0.5,0.4364357804719847
2019-07-01,20,0.05,1,1,50,0.0,0.29858689426899193,0.08915413342920217,0.25625472813844674,-0.07253092847160514,-0.11596398693121812,0.5,0.4898979485566356
2019-10-01,20,0.01,3,1,100,0.1,0.2734640049709852,0.07478256201477104,0.23764314621686933,0.10036015621328065,0.38704863170549425,0.65,
2020-01-02,20,0.01,1,5,100,0.0,0.2970993252966739,0.08826800909173885,0.25413588881492616,-0.06187078606603125,-0.18222579235543093,0.35,0.5619514869490163
2020-04-01,20,0.01,1,1,100,0.0,0.27028321537019023,0.07305301651084864,0.23536134183406832,0.12116671866648265,0.4829392075428685,0.7,
2020-07-01,20,0.05,1,5,50,0.0,0.3114517363985271,0.09700218410565761,0.27204409360885623,-0.16694356818836242,-0.46721534477332427,0.6,0.0
2020-10-01,20,0.01,3,5,100,0.1,0.27308259039879895,0.0745741011789182,0.23928045332431794,0.10286795574233742,0.46873227771090004,0.65,0.48507125007266594
2021-01-04,20,0.01,1,5,50,0.0,0.286423879466022,0.0820386387283663,0.24980722367763525,0.013069007779052066,0.08760400638219708,0.65,0.0
2021-04-01,20,0.01,1,5,50,0.0,0.28421591649523503,0.0807786871892264,0.24859366118907927,0.028226319528103394,0.29153693871767944,0.9,0.0
2021-07-01,20,0.01,1,5,50,0.0,0.2884785963533248,0.08321990055398448,0.2470999389886856,-0.001141660799813371,-0.0385021123608341,0.5,0.0
2021-10-01,20,0.01,2,1,50,0.0,0.28764267058185666,0.0827383059394625,0.2518769681453705,0.0046519586230074905,-0.04704292103529236,0.6,0.3476767476825577
2022-01-03,20,0.01,3,5,50,0.0,0.2977314605836731,0.08864402262128729,0.25441414266824725,-0.0663942570981928,-0.3348431524694154,0.15,0.16329931618554522
2022-04-01,20,0.01,5,5,50,0.0,0.30687002643711364,0.09416921312551481,0.2643924608826637,-0.1328627142919072,-0.3289426259354096,0.15,0.19802950859533486
2022-07-01,20,0.01,1,5,50,0.0,0.2910931065802747,0.08473519669855516,0.25182892978191374,-0.019370787351039365,-0.16000492553300447,0.15,0.0
2022-10-03,20,0.01,1,1,50,0.0,0.29139216427015135,0.08490939339804288,0.2520435780286788,-0.021466386743372867,-0.404652165236415,0.65,0.0
2023-01-03,20,0.01,2,3,50,0.0,0.282476833709512,0.07979316158255129,0.2432251361012458,0.04008226667607484,0.6140588830113557,0.7,0.6356417261637282
2023-04-03,20,0.01,2,1,50,0.0,0.2762600124539626,0.07631959448106357,0.24059323072433472,0.08186954007743086,0.5484872857716802,0.75,0.6373774391990981
2023-07-03,20,0.01,3,5,50,0.0,0.286530266037634,0.08209959335559731,0.24611471295356746,0.01233571903040842,0.033157582849344565,0.55,0.31622776601683794
2023-10-02,20,0.01,1,5,50,0.0,0.28640682743329804,0.08202887080040697,0.24701654314994811,0.013186516686833571,0.13478539469821862,0.75,0.0
2024-01-02,20,0.01,1,5,50,0.0,0.2859032865004726,0.0817406892317713,0.24665582180023193,0.0166533626253077,0.21470740172597502,0.8,0.0
2024-04-01,20,0.01,3,1,50,0.1,0.2806863300746631,0.0787848158907827,0.24516401290893555,0.052212741163516485,0.21068478499955973,0.6,0.36187343222787294
2024-07-01,20,0.01,2,3,50,0.0,0.2921022316539479,0.08532371373721663,0.2539106339216232,-0.026450691575538476,-0.10696563746013953,0.75,0.0
2024-10-01,20,0.1,1,1,50,0.0,0.26756816963741203,0.0715927254031149,0.23181148767471313,0.13873413048884342,0.3609022556390977,0.65,0.5741692517632145
2025-01-02,20,0.01,1,3,100,0.0,0.3065087188688901,0.09394759474264831,0.26313326358795164,-0.13019662848298696,-0.6409964509227782,0.45,0.0
2025-04-01,20,0.01,1,5,50,0.0,0.2791896384782025,0.07794685423358942,0.24100037217140197,0.06229348290418757,0.5129602565470676,0.7,0.0
2025-07-01,20,0.01,1,1,50,0.0,0.28118734967035885,0.07906632561464065,0.24263527989387518,0.048826158019360744,0.3554257575898695,0.75,0.0
2025-10-01,20,0.01,1,1,50,0.0,0.2920337481394084,0.08528371005235144,0.25461551547050476,-0.025969444238814532,-0.15057042356356706,0.6,0.0
