rebalance_date,invest_year,select_year,ticker,assigned_weight,turnover,tc_drag_bps,best_learning_rate,best_max_depth,best_min_child_weight,best_gamma,best_n_estimators,best_reg_lambda,best_subsample,best_colsample,val_R2_selected
2017-12-01,2017,2016,AMZN,0.010599113069474697,0.0,0.0,0.2,5,1,0.5,100,3,1.0,1.0,0.058704
2017-12-01,2017,2016,T,0.010599113069474697,0.0,0.0,0.2,5,1,0.5,100,3,1.0,1.0,0.058704
2017-12-01,2017,2016,VZ,0.010599113069474697,0.0,0.0,0.2,5,1,0.5,100,3,1.0,1.0,0.058704
2017-12-01,2017,2016,WMT,0.010599113069474697,0.0,0.0,0.2,5,1,0.5,100,3,1.0,1.0,0.058704
2018-01-02,2018,2017,AAPL,0.05000000074505806,0.704431,0.0,0.2,1,1,0.5,100,1,1.0,1.0,-0.0
2018-01-02,2018,2017,GOOGL,0.05000000074505806,0.0,0.0,0.2,1,1,0.5,100,1,1.0,1.0,-0.0
2018-01-02,2018,2017,MSFT,0.05000000074505806,0.0,0.0,0.2,1,1,0.5,100,1,1.0,1.0,-0.0
2018-01-02,2018,2017,AMZN,0.05000000074505806,0.0,0.0,0.2,1,1,0.5,100,1,1.0,1.0,-0.0
2018-01-02,2018,2017,META,0.05000000074505806,0.0,0.0,0.2,1,1,0.5,100,1,1.0,1.0,-0.0
2018-01-02,2018,2017,BRK-B,0.05000000074505806,0.0,0.0,0.2,1,1,0.5,100,1,1.0,1.0,-0.0
2018-01-02,2018,2017,JNJ,0.05000000074505806,0.0,0.0,0.2,1,1,0.5,100,1,1.0,1.0,-0.0
2018-01-02,2018,2017,JPM,0.05000000074505806,0.0,0.0,0.2,1,1,0.5,100,1,1.0,1.0,-0.0
2018-01-02,2018,2017,XOM,0.05000000074505806,0.0,0.0,0.2,1,1,0.5,100,1,1.0,1.0,-0.0
2018-01-02,2018,2017,BAC,0.05000000074505806,0.0,0.0,0.2,1,1,0.5,100,1,1.0,1.0,-0.0
2018-01-02,2018,2017,WFC,0.05000000074505806,0.0,0.0,0.2,1,1,0.5,100,1,1.0,1.0,-0.0
2018-01-02,2018,2017,WMT,0.05000000074505806,0.0,0.0,0.2,1,1,0.5,100,1,1.0,1.0,-0.0
2018-01-02,2018,2017,V,0.05000000074505806,0.0,0.0,0.2,1,1,0.5,100,1,1.0,1.0,-0.0
2018-01-02,2018,2017,CVX,0.05000000074505806,0.0,0.0,0.2,1,1,0.5,100,1,1.0,1.0,-0.0
2018-01-02,2018,2017,PG,0.05000000074505806,0.0,0.0,0.2,1,1,0.5,100,1,1.0,1.0,-0.0
2018-01-02,2018,2017,HD,0.05000000074505806,0.0,0.0,0.2,1,1,0.5,100,1,1.0,1.0,-0.0
2018-01-02,2018,2017,INTC,0.05000000074505806,0.0,0.0,0.2,1,1,0.5,100,1,1.0,1.0,-0.0
2018-01-02,2018,2017,VZ,0.05000000074505806,0.0,0.0,0.2,1,1,0.5,100,1,1.0,1.0,-0.0
2018-01-02,2018,2017,UNH,0.05000000074505806,0.0,0.0,0.2,1,1,0.5,100,1,1.0,1.0,-0.0
2018-01-02,2018,2017,PFE,0.05000000074505806,0.0,0.0,0.2,1,1,0.5,100,1,1.0,1.0,-0.0
2018-02-01,2018,2017,BAC,0.08348583430051804,0.459711,0.0,0.2,2,1,0.5,100,1,1.0,1.0,0.051359
2018-02-01,2018,2017,HD,0.08006837964057922,0.0,0.0,0.2,2,1,0.5,100,1,1.0,1.0,0.051359
2018-02-01,2018,2017,JNJ,0.07890498638153076,0.0,0.0,0.2,2,1,0.5,100,1,1.0,1.0,0.051359
2018-02-01,2018,2017,CVX,0.07890498638153076,0.0,0.0,0.2,2,1,0.5,100,1,1.0,1.0,0.051359
2018-02-01,2018,2017,PFE,0.07890498638153076,0.0,0.0,0.2,2,1,0.5,100,1,1.0,1.0,0.051359
2018-02-01,2018,2017,PG,0.07890498638153076,0.0,0.0,0.2,2,1,0.5,100,1,1.0,1.0,0.051359
2018-02-01,2018,2017,WMT,0.060688868165016174,0.0,0.0,0.2,2,1,0.5,100,1,1.0,1.0,0.051359
2018-02-01,2018,2017,BRK-B,0.05828002095222473,0.0,0.0,0.2,2,1,0.5,100,1,1.0,1.0,0.051359
