rebalance_date,invest_year,select_year,ticker,assigned_weight,turnover,tc_drag_bps,best_learning_rate,best_max_depth,best_min_child_weight,best_gamma,best_n_estimators,best_subsample,best_colsample,val_R2_selected
1998-08-03,1998,1997,BMY,0.060454580932855606,0.0,0.0,0.05,5,1,0.005,100,1.0,1.0,0.060228
1998-08-03,1998,1997,CSCO,0.05822167173027992,0.0,0.0,0.05,5,1,0.005,100,1.0,1.0,0.060228
1998-08-03,1998,1997,LLY,0.051786892116069794,0.0,0.0,0.05,5,1,0.005,100,1.0,1.0,0.060228
1998-08-03,1998,1997,KO,0.048023201525211334,0.0,0.0,0.05,5,1,0.005,100,1.0,1.0,0.060228
1998-08-03,1998,1997,MRK,0.04369727522134781,0.0,0.0,0.05,5,1,0.005,100,1.0,1.0,0.060228
1998-08-03,1998,1997,INTC,0.03936329856514931,0.0,0.0,0.05,5,1,0.005,100,1.0,1.0,0.060228
1998-08-03,1998,1997,IBM,0.03525136411190033,0.0,0.0,0.05,5,1,0.005,100,1.0,1.0,0.060228
1998-08-03,1998,1997,PEP,0.027041103690862656,0.0,0.0,0.05,5,1,0.005,100,1.0,1.0,0.060228
1998-08-03,1998,1997,AIG,0.02439187839627266,0.0,0.0,0.05,5,1,0.005,100,1.0,1.0,0.060228
1998-08-03,1998,1997,C,0.021267354488372803,0.0,0.0,0.05,5,1,0.005,100,1.0,1.0,0.060228
1998-08-03,1998,1997,VZ,0.015935221686959267,0.0,0.0,0.05,5,1,0.005,100,1.0,1.0,0.060228
1998-08-03,1998,1997,JNJ,0.015274826437234879,0.0,0.0,0.05,5,1,0.005,100,1.0,1.0,0.060228
1998-08-03,1998,1997,PG,0.009999357163906097,0.0,0.0,0.05,5,1,0.005,100,1.0,1.0,0.060228
1998-09-01,1998,1997,C,0.0973028913140297,0.53933,0.0,0.01,5,5,0.001,100,1.0,1.0,0.054287
1998-09-01,1998,1997,PFE,0.08399643748998642,0.0,0.0,0.01,5,5,0.001,100,1.0,1.0,0.054287
1998-09-01,1998,1997,CSCO,0.08399643748998642,0.0,0.0,0.01,5,5,0.001,100,1.0,1.0,0.054287
1998-09-01,1998,1997,INTC,0.08392644673585892,0.0,0.0,0.01,5,5,0.001,100,1.0,1.0,0.054287
1998-09-01,1998,1997,PEP,0.07238410413265228,0.0,0.0,0.01,5,5,0.001,100,1.0,1.0,0.054287
1998-09-01,1998,1997,WMT,0.06323500722646713,0.0,0.0,0.01,5,5,0.001,100,1.0,1.0,0.054287
1998-09-01,1998,1997,MSFT,0.06323500722646713,0.0,0.0,0.01,5,5,0.001,100,1.0,1.0,0.054287
1998-09-01,1998,1997,BMY,0.060535069555044174,0.0,0.0,0.01,5,5,0.001,100,1.0,1.0,0.054287
1998-09-01,1998,1997,DIS,0.058434415608644485,0.0,0.0,0.01,5,5,0.001,100,1.0,1.0,0.054287
1998-09-01,1998,1997,JNJ,0.04672282934188843,0.0,0.0,0.01,5,5,0.001,100,1.0,1.0,0.054287
1998-09-01,1998,1997,KO,0.0457899309694767,0.0,0.0,0.01,5,5,0.001,100,1.0,1.0,0.054287
1998-09-01,1998,1997,GE,0.04562957212328911,0.0,0.0,0.01,5,5,0.001,100,1.0,1.0,0.054287
1998-09-01,1998,1997,T,0.03641488775610924,0.0,0.0,0.01,5,5,0.001,100,1.0,1.0,0.054287
1998-09-01,1998,1997,XOM,0.03545321524143219,0.0,0.0,0.01,5,5,0.001,100,1.0,1.0,0.054287
1998-09-01,1998,1997,VZ,0.03172782436013222,0.0,0.0,0.01,5,5,0.001,100,1.0,1.0,0.054287
1998-09-01,1998,1997,AIG,0.028973514214158058,0.0,0.0,0.01,5,5,0.001,100,1.0,1.0,0.054287
1998-09-01,1998,1997,IBM,0.02724318951368332,0.0,0.0,0.01,5,5,0.001,100,1.0,1.0,0.054287
1998-09-01,1998,1997,MRK,0.012697728350758553,0.0,0.0,0.01,5,5,0.001,100,1.0,1.0,0.054287
1998-09-01,1998,1997,PG,0.012302347458899021,0.0,0.0,0.01,5,5,0.001,100,1.0,1.0,0.054287
1998-09-01,1998,1997,LLY,0.00999901257455349,0.0,0.0,0.01,5,5,0.001,100,1.0,1.0,0.054287
1998-10-01,1998,1997,CSCO,0.07424461841583252,0.417373,0.0,0.05,1,1,0.001,300,1.0,1.0,0.079784
1998-10-01,1998,1997,WMT,0.07345912605524063,0.0,0.0,0.05,1,1,0.001,300,1.0,1.0,0.079784
1998-10-01,1998,1997,BMY,0.07345912605524063,0.0,0.0,0.05,1,1,0.001,300,1.0,1.0,0.079784
1998-10-01,1998,1997,PFE,0.06798569113016129,0.0,0.0,0.05,1,1,0.001,300,1.0,1.0,0.079784
1998-10-01,1998,1997,MSFT,0.06746784597635269,0.0,0.0,0.05,1,1,0.001,300,1.0,1.0,0.079784
1998-10-01,1998,1997,MRK,0.06542514264583588,0.0,0.0,0.05,1,1,0.001,300,1.0,1.0,0.079784
1998-10-01,1998,1997,AIG,0.05656827613711357,0.0,0.0,0.05,1,1,0.001,300,1.0,1.0,0.079784
1998-10-01,1998,1997,JNJ,0.05153036490082741,0.0,0.0,0.05,1,1,0.001,300,1.0,1.0,0.079784
1998-10-01,1998,1997,INTC,0.051094844937324524,0.0,0.0,0.05,1,1,0.001,300,1.0,1.0,0.079784
1998-10-01,1998,1997,VZ,0.05090881884098053,0.0,0.0,0.05,1,1,0.001,300,1.0,1.0,0.079784
1998-10-01,1998,1997,KO,0.0495055690407753,0.0,0.0,0.05,1,1,0.001,300,1.0,1.0,0.079784
1998-10-01,1998,1997,T,0.046692587435245514,0.0,0.0,0.05,1,1,0.001,300,1.0,1.0,0.079784
1998-10-01,1998,1997,DIS,0.04601678252220154,0.0,0.0,0.05,1,1,0.001,300,1.0,1.0,0.079784
1998-10-01,1998,1997,IBM,0.0443180650472641,0.0,0.0,0.05,1,1,0.001,300,1.0,1.0,0.079784
1998-10-01,1998,1997,XOM,0.03943610563874245,0.0,0.0,0.05,1,1,0.001,300,1.0,1.0,0.079784
1998-10-01,1998,1997,GE,0.03841831907629967,0.0,0.0,0.05,1,1,0.001,300,1.0,1.0,0.079784
1998-10-01,1998,1997,LLY,0.03686444088816643,0.0,0.0,0.05,1,1,0.001,300,1.0,1.0,0.079784
1998-10-01,1998,1997,PG,0.02912386879324913,0.0,0.0,0.05,1,1,0.001,300,1.0,1.0,0.079784
1998-10-01,1998,1997,C,0.027481377124786377,0.0,0.0,0.05,1,1,0.001,300,1.0,1.0,0.079784
1998-10-01,1998,1997,PEP,0.00999901257455349,0.0,0.0,0.05,1,1,0.001,300,1.0,1.0,0.079784
1998-11-02,1998,1997,DIS,0.06359526515007019,0.335218,0.0,0.005,1,1,0.001,200,1.0,1.0,-0.014916
1998-11-02,1998,1997,PEP,0.060910459607839584,0.0,0.0,0.005,1,1,0.001,200,1.0,1.0,-0.014916
1998-11-02,1998,1997,KO,0.05972396582365036,0.0,0.0,0.005,1,1,0.001,200,1.0,1.0,-0.014916
1998-11-02,1998,1997,GE,0.054181814193725586,0.0,0.0,0.005,1,1,0.001,200,1.0,1.0,-0.014916
1998-11-02,1998,1997,IBM,0.054181814193725586,0.0,0.0,0.005,1,1,0.001,200,1.0,1.0,-0.014916
1998-11-02,1998,1997,LLY,0.054181814193725586,0.0,0.0,0.005,1,1,0.001,200,1.0,1.0,-0.014916
1998-11-02,1998,1997,INTC,0.054181814193725586,0.0,0.0,0.005,1,1,0.001,200,1.0,1.0,-0.014916
1998-11-02,1998,1997,PG,0.054181814193725586,0.0,0.0,0.005,1,1,0.001,200,1.0,1.0,-0.014916
1998-11-02,1998,1997,BMY,0.054181814193725586,0.0,0.0,0.005,1,1,0.001,200,1.0,1.0,-0.014916
1998-11-02,1998,1997,MRK,0.05382634326815605,0.0,0.0,0.005,1,1,0.001,200,1.0,1.0,-0.014916
1998-11-02,1998,1997,JNJ,0.05382634326815605,0.0,0.0,0.005,1,1,0.001,200,1.0,1.0,-0.014916
1998-11-02,1998,1997,MSFT,0.051861558109521866,0.0,0.0,0.005,1,1,0.001,200,1.0,1.0,-0.014916
1998-11-02,1998,1997,XOM,0.051861558109521866,0.0,0.0,0.005,1,1,0.001,200,1.0,1.0,-0.014916
1998-11-02,1998,1997,PFE,0.051861558109521866,0.0,0.0,0.005,1,1,0.001,200,1.0,1.0,-0.014916
1998-11-02,1998,1997,WMT,0.051861558109521866,0.0,0.0,0.005,1,1,0.001,200,1.0,1.0,-0.014916
1998-11-02,1998,1997,VZ,0.051861558109521866,0.0,0.0,0.005,1,1,0.001,200,1.0,1.0,-0.014916
1998-11-02,1998,1997,AIG,0.051861558109521866,0.0,0.0,0.005,1,1,0.001,200,1.0,1.0,-0.014916
1998-11-02,1998,1997,T,0.051861558109521866,0.0,0.0,0.005,1,1,0.001,200,1.0,1.0,-0.014916
1998-11-02,1998,1997,C,0.009997940622270107,0.0,0.0,0.005,1,1,0.001,200,1.0,1.0,-0.014916
1998-11-02,1998,1997,CSCO,0.009997940622270107,0.0,0.0,0.005,1,1,0.001,200,1.0,1.0,-0.014916
1998-12-01,1998,1997,KO,0.08221091330051422,0.368274,0.0,0.05,2,1,0.001,100,1.0,1.0,-0.110678
1998-12-01,1998,1997,PG,0.08221091330051422,0.0,0.0,0.05,2,1,0.001,100,1.0,1.0,-0.110678
1998-12-01,1998,1997,T,0.08221091330051422,0.0,0.0,0.05,2,1,0.001,100,1.0,1.0,-0.110678
1998-12-01,1998,1997,XOM,0.07242711633443832,0.0,0.0,0.05,2,1,0.001,100,1.0,1.0,-0.110678
1998-12-01,1998,1997,LLY,0.07242711633443832,0.0,0.0,0.05,2,1,0.001,100,1.0,1.0,-0.110678
1998-12-01,1998,1997,PFE,0.0672198086977005,0.0,0.0,0.05,2,1,0.001,100,1.0,1.0,-0.110678
1998-12-01,1998,1997,WMT,0.0574360117316246,0.0,0.0,0.05,2,1,0.001,100,1.0,1.0,-0.110678
1998-12-01,1998,1997,GE,0.049982476979494095,0.0,0.0,0.05,2,1,0.001,100,1.0,1.0,-0.110678
1998-12-01,1998,1997,JNJ,0.049982476979494095,0.0,0.0,0.05,2,1,0.001,100,1.0,1.0,-0.110678
1998-12-01,1998,1997,VZ,0.049982476979494095,0.0,0.0,0.05,2,1,0.001,100,1.0,1.0,-0.110678
1998-12-01,1998,1997,AIG,0.04973391443490982,0.0,0.0,0.05,2,1,0.001,100,1.0,1.0,-0.110678
