rebalance_date,ticker,assigned_weight,updated_mktcap_bn,turnover_at_rebalance
2010-01-04,WFC,0.042823967696672245,139.78,0.0
2010-01-04,PFE,0.04261870186209813,139.11,0.0
2010-01-04,CSCO,0.04219591551625889,137.73,0.0
2010-01-04,KO,0.04021678523066365,131.27,0.0
2010-01-04,BAC,0.03991041831338885,130.27,0.0
2010-01-04,T,0.038372456388669325,125.25,0.0
2010-01-04,ORCL,0.03765862147141903,122.92,0.0
2010-01-04,INTC,0.03451836056935228,112.67,0.0
2010-01-04,MRK,0.03317647347168864,108.29,0.0
2010-01-04,VZ,0.030125058975631575,98.33,0.0
2011-01-03,XOM,0.10145497005620906,364.06,0.26583975505227564
2011-01-03,AAPL,0.08279479097868404,297.1,0.0
2011-01-03,MSFT,0.06535800177795613,234.53,0.0
2011-01-03,BRK-B,0.055186309180440256,198.03,0.0
2011-01-03,WMT,0.05355326483464729,192.17,0.0
2011-01-03,GOOGL,0.053185411842079595,190.85,0.0
2011-01-03,CVX,0.051036815953672814,183.14,0.0
2011-01-03,PG,0.05021472025058592,180.19,0.0
2011-01-03,IBM,0.047971374348942004,172.14,0.0
2011-01-03,JNJ,0.04733041837704375,169.84,0.0
2011-01-03,JPM,0.04622128586915024,165.86,0.0
2011-01-03,WFC,0.04544377840758669,163.07,0.0
2011-01-03,ORCL,0.044067116450553036,158.13,0.0
2011-01-03,KO,0.04200769704519297,150.74,0.0
2011-01-03,C,0.03830408623365911,137.45,0.0
2011-01-03,BAC,0.0375098581815243,134.6,0.0
2011-01-03,PFE,0.03705004194081468,132.95,0.0
2011-01-03,T,0.03664038747181884,131.48,0.0
2011-01-03,GE,0.03237106334595738,116.16,0.0
2011-01-03,INTC,0.032298607453481926,115.9,0.0
2012-01-03,XOM,0.10904020463323574,406.25,0.13974208013989353
2012-01-03,AAPL,0.10132888136157331,377.52,0.0
2012-01-03,MSFT,0.05861464587767636,218.38,0.0
2012-01-03,CVX,0.05685926633724224,211.84,0.0
2012-01-03,GOOGL,0.05613725242840925,209.15,0.0
2012-01-03,IBM,0.055578966580687075,207.07,0.0
2012-01-03,WMT,0.054910634003365835,204.58,0.0
2012-01-03,BRK-B,0.05070738574599605,188.92,0.0
2012-01-03,PG,0.0492579897951789,183.52,0.0
2012-01-03,JNJ,0.04807163236876928,179.1,0.0
2012-01-03,KO,0.04264981788608286,158.9,0.0
2012-01-03,PFE,0.04231162549755885,157.64,0.0
2012-01-03,WFC,0.03901290767616201,145.35,0.0
2012-01-03,PM,0.03658919555840664,136.32,0.0
2012-01-03,T,0.036417415297569054,135.68,0.0
2012-01-03,ORCL,0.034602986292472,128.92,0.0
2012-01-03,JPM,0.033913181182546055,126.35,0.0
2012-01-03,INTC,0.033142854075352494,123.48,0.0
